authors / representative study location,initial source,inclusion / exclusion,reason for exclusion,duplicate,study also found in search from representative samples (see column B),citations,,"Medrxiv, term 1","Medrxiv, term 2","PubMed, term 1","PubMed, term 2","Biorxiv, term 1","Biorxiv, term 2"
Tamil Nadu: Chennai,search from representative samples,included,-,,,"https://wwwnc.cdc.gov/eid/article/27/2/20-3938_article  [n-88]  ,  https://academic.oup.com/trstmh/article/115/11/1350/6370308  [n-89]",,,,,,,
Tanjung Priok sub-district,search from representative samples,included,-,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261931  [n-152],,,,,,,
Tatarstan,search from representative samples,excluded,Obolensk ELISA,,,https://microbiol.elpub.ru/jour/article/view/940?locale=en_US,,,,,,,
"Ticino (by cantonal office, not for Corona Immunitas)",search from representative samples,excluded,no non-serologic initial diagnosis,,,https://smw.ch/article/doi/smw.2021.w30116,,,,,,,
Tirschenreuth district,search from representative samples,excluded,assays not used individually,,,https://www.mdpi.com/1999-4915/13/6/1118/htm  [n-29],,,,,,,
Trento (5 municipalities),search from representative samples,excluded,no non-serologic initial diagnosis,,,https://www.medrxiv.org/content/10.1101/2020.11.11.20229062v2.full,,,,,,,
Tyumen region,search from representative samples,excluded,Obolensk ELISA,,,https://microbiol.elpub.ru/jour/article/view/890?locale=en_US#,,,,,,,
USA (COVIDVu): national,search from representative samples,included,-,,,"n-143  ,  https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab626/6318822",,,,,,,
Vaud (for Corona Immunitas),search from representative samples,included,-,,,https://academic.oup.com/ofid/article/8/7/ofab149/6189274  [n-301],,,,,,,
Vo',search from representative samples,included,-,,,https://www.nature.com/articles/s41467-021-24622-7#Sec26,,,,,,,
Weißenkirchen/Wachau,search from representative samples,excluded,no non-serologic initial diagnosis,,,https://www.frontiersin.org/articles/10.3389/fmed.2021.653630/full,,,,,,,
West Bengal: Paschim Medinipur,search from representative samples,included,-,,,https://www.medrxiv.org/content/10.1101/2020.09.12.20193219v1.full  [n-95],,,,,,,
Wisconsin,search from representative samples,excluded,no non-serologic initial diagnosis,,,https://www.medrxiv.org/content/10.1101/2020.12.18.20248479v2.full,,,,,,,
Wuhan #2,search from representative samples,excluded,assays not used individually,,,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00238-5/fulltext,,,,,,,
